rep,id,eta_CL,eta_Vc,eta_Q,eta_Vp,eta_time0,eta_kt
1,1,-0.49497854206503,-0.345729771597472,-1.93467075833488,-0.834319895735082,0.0856796118037179,-0.331843019503239
2,1,-0.429115352581894,-0.0273443012216501,-1.72626954070982,-0.700574959757854,-0.0343826285311383,-1.08541540974051
3,1,-0.590300270328635,0.0852147771862532,-1.19396622633516,-0.165084318085777,0.0365240430864877,-0.213756358268198
4,1,-0.470328485593421,-0.070282847241665,-1.24150405333519,-0.234202705234881,-0.0502318317996327,-0.659717999468681
5,1,-0.400917456605039,0.00306612222707933,-1.52499620138715,-0.494998481900173,0.00828882540173753,-0.818266749231309
6,1,-0.40890444654363,0.290718500775701,-2.01673493037544,-0.965060278711592,-0.0871419376812992,-1.43329587769124
7,1,-0.288395472843638,-0.0486089784587846,-1.52559697564502,-0.478134340894326,0.0915796673646339,-0.598313612569423
8,1,-0.521710445224787,-0.160872530272133,-1.45034466919171,-0.419998895564032,0.0878551061780009,-0.170700790844645
9,1,-0.480079507733138,-0.363655253108459,-1.66789579448962,-0.560012512056071,0.0471893808065878,-0.2492322840502
10,1,-0.532744480448721,-0.3725273002149,-1.6330240648571,-0.534371716425133,0.0210547581474693,-0.30896310836391
1,2,-0.508398332218019,-0.190405383527155,-1.95381728776635,-0.756784597583491,0.0982758593902734,-0.0784430152632238
2,2,-0.446019881721838,0.00888735590695554,-1.95466639728233,-0.790701802931582,0.0827730876524148,-0.454080292421213
3,2,-0.557714674540296,-0.485024807827809,-1.17158461975459,-0.0498411902471449,0.129980543320415,0.912475753988032
4,2,-0.526298209739088,-0.328558639706381,-1.12145400407262,-0.00503136832479988,0.0936987837199934,0.554825968213835
5,2,-0.508453692217747,-0.0650209949659185,-1.67793409880184,-0.523323529475054,0.0841786539583188,-0.0730474970535661
6,2,-0.530274661010729,-0.8194707305273,-1.58079885863105,-0.386576163313651,0.133306507448017,0.802592304343258
7,2,-0.450915591504107,-0.486474782209413,-1.48226957987244,-0.406785586414715,0.0586650858700562,-0.171197233432592
8,2,-0.53622164515339,-0.379081336590637,-1.47926527885165,-0.346598860633147,0.105543938458267,0.289644524472503
9,2,-0.344547314388982,0.0731294229153933,-1.53706550811232,-0.42295386175817,0.115130304131885,-0.191100876891663
10,2,-0.552801006397132,-0.293490804401257,-1.90519984825388,-0.779344058893383,0.0720151474330026,-0.38090545361732
1,3,0.829475291902164,0.163795548724263,0.936701267823605,0.825480407837217,0.0917407956343847,-0.0738867431597714
2,3,0.815849468720563,0.603596119782645,1.23651949793728,0.753140438508042,-0.0480266023763304,-1.07204900727644
3,3,0.7610747450662,-0.196720691902001,1.00582721989821,0.76476741312875,0.0641161026690822,-0.0646724831565118
