parameter,value,se_sa,rse_sa
CL_pop,0.164998970343195,0.0414798876734732,25.1394827417382
Vc_pop,0.396977598598504,0.204224550686376,51.4448551775651
Q_pop,0.702870529886518,nan,nan
Vp_pop,0.500071388935769,0.17724421381717,35.4437821756557
time0_pop,11.6340038870287,0.889990735510101,7.64990921571203
kt_pop,1.0656125107787,nan,nan
omega_CL,0.597311000086421,0.188593193240482,31.573701675207
omega_Vc,0.455318373862832,nan,nan
omega_Q,1.36933763397377,nan,nan
omega_Vp,0.636003722919256,0.21871421621789,34.3888264071776
omega_time0,0.122765604062476,nan,nan
omega_kt,0.885849246855694,0.392456880668896,44.3028971421395
b,0.251867122757169,nan,nan
